cnumber,ibu,abv,style,bcity
Шум,0.00,0.47,0.44583,0.92650
Шум,0.23,0.47,0.56246,0.00775
Шум,0.17,0.41,0.27293,0.00775
Шум,0.00,0.38,0.70848,0.44868
Шум,0.00,0.42,0.55751,0.44868
Шум,0.00,0.62,0.02077,0.44868
Шум,0.00,0.35,0.81990,0.72720
Шум,0.00,0.47,0.27293,0.72720
Шум,0.00,0.62,0.96786,0.61095
Шум,0.12,0.39,0.70848,0.61095
Шум,0.09,0.41,0.94546,0.61095
Шум,0.00,0.43,0.21017,0.61095
Шум,0.83,0.72,0.46637,0.61095
Шум,0.58,0.51,0.44583,0.61095
Шум,0.00,0.55,0.45666,0.61095
Шум,0.00,0.47,0.92735,0.61095
Шум,0.00,0.51,0.44583,0.81093
Шум,0.00,0.51,0.44583,0.81093
Шум,0.00,0.43,0.49598,0.25654
Шум,0.00,0.39,0.70848,0.81675
Шум,0.00,0.39,0.92735,0.81675
Шум,0.27,0.49,0.56246,0.82757
Шум,0.00,0.47,0.77650,0.54847
Шум,0.24,0.59,0.87150,0.54847
Шум,0.73,0.66,0.46637,0.54847
Шум,0.00,0.47,0.92735,0.54847
Шум,0.00,0.55,1.00000,0.54847
Шум,0.19,0.38,0.21484,0.54847
Шум,0.00,0.36,0.60787,0.54847
Шум,0.17,0.41,0.70848,0.54847
Шум,0.51,0.55,0.44583,0.54847
Шум,0.32,0.35,0.44583,0.48339
Шум,0.12,0.39,0.54860,0.48339
Шум,0.40,0.46,0.07392,0.38670
